,,"County subdivisions not defined, Cook County, Illinois",,,"Barrington township, Cook County, Illinois","Berwyn township, Cook County, Illinois","Bloom township, Cook County, Illinois","Bremen township, Cook County, Illinois","Calumet township, Cook County, Illinois","Chicago city, Cook County, Illinois","Cicero township, Cook County, Illinois","Elk Grove township, Cook County, Illinois","Evanston township, Cook County, Illinois","Hanover township, Cook County, Illinois","Lemont township, Cook County, Illinois","Leyden township, Cook County, Illinois","Lyons township, Cook County, Illinois","Maine township, Cook County, Illinois","New Trier township, Cook County, Illinois","Niles township, Cook County, Illinois","Northfield township, Cook County, Illinois","Norwood Park township, Cook County, Illinois","Oak Park township, Cook County, Illinois","Orland township, Cook County, Illinois","Palatine township, Cook County, Illinois","Palos township, Cook County, Illinois","Proviso township, Cook County, Illinois","Rich township, Cook County, Illinois","River Forest township, Cook County, Illinois","Riverside township, Cook County, Illinois","Schaumburg township, Cook County, Illinois","Stickney township, Cook County, Illinois","Thornton township, Cook County, Illinois","Wheeling township, Cook County, Illinois","Worth township, Cook County, Illinois","Addison township, DuPage County, Illinois","Bloomingdale township, DuPage County, Illinois","Chicago city, DuPage County, Illinois","Downers Grove township, DuPage County, Illinois","Lisle township, DuPage County, Illinois","Milton township, DuPage County, Illinois","Naperville township, DuPage County, Illinois","Wayne township, DuPage County, Illinois","Winfield township, DuPage County, Illinois","York township, DuPage County, Illinois"
Total:,,0,,,"1,722","13,552","6,409","5,792","3,001","628,903","37,343","25,944","11,448","19,136","1,650","26,506","15,399","39,143","5,933","35,525","16,428","7,807","5,165","7,508","22,544","7,538","22,176","2,980",887,"1,697","26,405","8,258","9,926","32,953","15,025","23,661","22,192",0,"19,595","14,972","13,318","10,994","9,799","9,009","15,116"
  Europe:,,0,,,619,"3,104","1,313","1,220",195,"145,462","1,370","7,402","2,776","2,774","1,377","13,223","7,402","17,363","2,532","13,256","7,256","6,639","1,574","3,494","5,523","4,329","3,757",798,308,976,"5,686","5,015","1,998","13,024","6,349","7,266","5,201",0,"6,391","3,126","3,679","2,235","2,212",716,"4,094"
    Northern Europe:,,0,,,109,115,146,256,21,"9,254",75,379,582,234,97,298,514,894,543,516,409,166,216,504,784,521,393,279,95,64,471,204,206,753,"1,418",380,306,0,647,577,863,439,213,169,561
      United Kingdom,,0,,,49,54,107,108,21,"3,892",50,219,399,174,14,123,238,352,299,210,250,20,144,166,386,155,156,183,68,46,289,84,137,429,287,124,133,0,408,411,591,355,130,151,312
      Ireland,,0,,,32,43,23,141,0,"4,323",25,111,53,38,83,120,248,406,93,144,78,134,45,312,235,319,188,56,27,8,76,120,41,203,"1,096",104,101,0,103,117,129,54,30,0,175
      Sweden,,0,,,19,0,0,7,0,563,0,38,49,5,0,46,8,77,81,98,26,7,7,12,44,29,33,8,0,0,39,0,13,71,31,25,63,0,44,19,76,0,0,9,18
      Other Northern Europe,,0,,,9,18,16,0,0,476,0,11,81,17,0,9,20,59,70,64,55,5,20,14,119,18,16,32,0,10,67,0,15,50,4,127,9,0,92,30,67,30,53,9,56
    Western Europe:,,0,,,118,288,285,313,9,"10,673",126,592,819,462,59,518,558,"1,180",587,984,808,333,346,442,808,423,788,273,64,87,797,139,432,"1,463",779,418,485,0,735,546,518,363,245,165,766
      Austria,,0,,,3,65,6,8,0,"1,054",7,80,78,43,6,51,53,119,73,119,68,59,8,22,80,83,82,34,0,28,85,0,48,123,132,6,15,0,66,33,53,0,15,29,29
      France,,0,,,20,16,5,42,0,"1,547",5,91,260,75,0,45,71,91,84,82,25,46,30,24,71,33,60,24,0,5,55,9,38,106,26,15,44,0,96,64,29,26,34,10,50
      Germany,,0,,,86,179,219,212,5,"6,878",106,370,369,330,53,372,383,882,363,696,593,222,275,292,628,278,563,199,54,49,583,130,188,"1,085",519,335,401,0,410,337,373,213,179,119,568
      Netherlands,,0,,,0,0,33,3,0,437,0,24,20,14,0,20,21,19,30,45,53,6,21,73,5,6,65,16,5,0,14,0,143,71,82,34,0,0,57,85,56,70,10,0,90
      Other Western Europe,,0,,,9,28,22,48,4,757,8,27,92,0,0,30,30,69,37,42,69,0,12,31,24,23,18,0,5,5,60,0,15,78,20,28,25,0,106,27,7,54,7,7,29
    Southern Europe:,,0,,,192,623,446,232,136,"11,949",255,"1,367",239,266,146,"2,594",582,"2,350",266,"1,548",821,"1,726",254,"1,025",556,"1,177","1,068",78,84,154,867,333,442,"1,280",988,"2,006","1,220",0,742,446,354,319,499,117,932
      Greece,,0,,,77,171,35,89,0,"4,879",74,723,59,62,57,466,248,"1,190",146,"1,326",477,401,89,523,236,916,248,12,23,62,281,172,174,584,597,432,253,0,339,96,132,114,108,31,318
      Italy,,0,,,112,405,403,143,130,"6,128",174,618,68,194,89,"2,111",305,"1,137",100,219,331,"1,319",135,502,307,261,799,66,37,92,539,161,252,657,384,"1,562",954,0,365,213,175,157,372,86,555
      Portugal,,0,,,0,28,0,0,0,39,7,0,26,10,0,0,8,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,10,0,5
      Spain,,0,,,3,19,8,0,6,880,0,26,86,0,0,17,21,10,20,3,8,6,11,0,13,0,21,0,24,0,47,0,0,30,7,12,13,0,32,117,39,48,9,0,54
      Other Southern Europe,,0,,,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,6,8,0,0,0,0
    Eastern Europe:,,0,,,200,"2,069",436,419,29,"113,449",890,"5,064","1,136","1,806","1,075","9,808","5,742","12,939","1,136","10,208","5,208","4,414",758,"1,523","3,375","2,189","1,500",168,65,671,"3,551","4,339",918,"9,528","3,164","4,453","3,190",0,"4,267","1,557","1,944","1,114","1,255",265,"1,835"
