country,,,"County subdivisions not defined, Cook County, Illinois",,,,"Barrington township, Cook County, Illinois",,"Berwyn township, Cook County, Illinois",,"Bloom township, Cook County, Illinois",,"Bremen township, Cook County, Illinois",,"Calumet township, Cook County, Illinois",,"Chicago city, Cook County, Illinois",,"Cicero township, Cook County, Illinois",,"Elk Grove township, Cook County, Illinois",,"Evanston township, Cook County, Illinois",,"Hanover township, Cook County, Illinois",,"Lemont township, Cook County, Illinois",,"Leyden township, Cook County, Illinois",,"Lyons township, Cook County, Illinois",,"Maine township, Cook County, Illinois",,"New Trier township, Cook County, Illinois",,"Niles township, Cook County, Illinois",,"Northfield township, Cook County, Illinois",,"Norwood Park township, Cook County, Illinois",,"Oak Park township, Cook County, Illinois",,"Orland township, Cook County, Illinois",,"Palatine township, Cook County, Illinois",,"Palos township, Cook County, Illinois",,"Proviso township, Cook County, Illinois",,"Rich township, Cook County, Illinois",,"River Forest township, Cook County, Illinois",,"Riverside township, Cook County, Illinois",,"Schaumburg township, Cook County, Illinois",,"Stickney township, Cook County, Illinois",,"Thornton township, Cook County, Illinois",,"Wheeling township, Cook County, Illinois",,"Worth township, Cook County, Illinois",
  Europe:,,,0,,,+/-89,572,+/-155,"1,093",+/-269,932,+/-241,"1,455",+/-389,127,+/-92,"103,022","+/-3,232",687,+/-200,"10,210",+/-931,"2,474",+/-347,"3,466",+/-559,"1,708",+/-395,"14,369","+/-1,031","6,807",+/-789,"17,746","+/-1,140","2,326",+/-355,"11,922",+/-907,"7,285",+/-698,"6,777",+/-752,"1,760",+/-352,"4,429",+/-662,"6,609",+/-833,"6,643",+/-761,"2,997",+/-436,546,+/-218,359,+/-122,618,+/-232,"6,377",+/-742,"6,362",+/-816,822,+/-183,"17,211","+/-1,437","8,344",+/-877
    Northern Europe:,,,0,,,+/-89,108,+/-67,144,+/-90,86,+/-45,168,+/-83,0,+/-89,"8,111",+/-683,36,+/-37,238,+/-97,317,+/-101,255,+/-124,52,+/-43,129,+/-72,302,+/-172,690,+/-193,320,+/-116,280,+/-104,251,+/-100,181,+/-92,584,+/-195,429,+/-157,355,+/-153,536,+/-172,186,+/-72,168,+/-111,87,+/-58,80,+/-81,353,+/-139,82,+/-80,80,+/-56,620,+/-151,"1,015",+/-241
      United Kingdom (inc. Crown Dependencies):,,,0,,,+/-89,96,+/-65,89,+/-58,57,+/-39,116,+/-71,0,+/-89,"4,004",+/-412,12,+/-18,113,+/-68,221,+/-80,172,+/-106,14,+/-23,47,+/-43,219,+/-155,204,+/-87,269,+/-105,163,+/-89,170,+/-86,52,+/-50,412,+/-178,84,+/-61,268,+/-123,230,+/-120,76,+/-42,154,+/-104,40,+/-30,34,+/-34,177,+/-92,53,+/-72,35,+/-39,321,+/-112,111,+/-68
"        United Kingdom, excluding England and Scotland",,,0,,,+/-89,71,+/-58,15,+/-25,19,+/-23,33,+/-31,0,+/-89,"1,790",+/-286,0,+/-89,45,+/-37,88,+/-48,44,+/-42,0,+/-89,11,+/-18,17,+/-20,71,+/-50,157,+/-63,55,+/-41,66,+/-57,12,+/-18,170,+/-111,57,+/-47,42,+/-57,15,+/-23,15,+/-17,35,+/-41,31,+/-27,13,+/-21,55,+/-61,45,+/-71,0,+/-89,80,+/-54,33,+/-34
        England,,,0,,,+/-89,13,+/-21,74,+/-53,38,+/-30,75,+/-65,0,+/-89,"2,089",+/-298,12,+/-18,19,+/-20,101,+/-52,128,+/-96,14,+/-23,36,+/-40,163,+/-137,113,+/-69,95,+/-62,96,+/-70,104,+/-58,40,+/-36,214,+/-123,0,+/-89,210,+/-125,147,+/-97,52,+/-35,107,+/-84,9,+/-16,13,+/-21,99,+/-61,8,+/-15,24,+/-34,174,+/-86,65,+/-55
        Scotland,,,0,,,+/-89,12,+/-20,0,+/-89,0,+/-89,8,+/-12,0,+/-89,125,+/-63,0,+/-89,49,+/-48,32,+/-42,0,+/-89,0,+/-89,0,+/-89,39,+/-48,20,+/-22,17,+/-16,12,+/-19,0,+/-89,0,+/-89,28,+/-27,27,+/-36,16,+/-13,68,+/-64,9,+/-14,12,+/-19,0,+/-89,8,+/-18,23,+/-29,0,+/-89,11,+/-18,67,+/-57,13,+/-20
      Ireland,,,0,,,+/-89,12,+/-18,55,+/-66,13,+/-13,50,+/-40,0,+/-89,"3,304",+/-464,0,+/-89,96,+/-57,15,+/-17,62,+/-51,38,+/-36,66,+/-46,43,+/-45,405,+/-159,28,+/-32,89,+/-53,18,+/-22,86,+/-61,123,+/-71,345,+/-144,87,+/-71,278,+/-117,99,+/-68,14,+/-22,47,+/-50,46,+/-75,103,+/-86,20,+/-31,17,+/-20,210,+/-106,899,+/-216
      Denmark,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,173,+/-80,0,+/-89,11,+/-17,4,+/-7,0,+/-89,0,+/-89,0,+/-89,0,+/-89,27,+/-27,0,+/-89,0,+/-89,18,+/-26,0,+/-89,13,+/-25,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,9,+/-14,0,+/-89,12,+/-20,1,+/-2
      Norway,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,86,+/-58,0,+/-89,3,+/-6,23,+/-26,10,+/-17,0,+/-89,16,+/-21,5,+/-10,28,+/-34,0,+/-89,10,+/-17,9,+/-15,10,+/-15,13,+/-20,0,+/-89,0,+/-89,0,+/-89,11,+/-16,0,+/-89,0,+/-89,0,+/-89,30,+/-33,0,+/-89,0,+/-89,28,+/-30,0,+/-89
      Sweden,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,2,+/-5,0,+/-89,385,+/-147,6,+/-12,15,+/-18,54,+/-53,11,+/-18,0,+/-89,0,+/-89,22,+/-27,26,+/-26,23,+/-25,11,+/-18,32,+/-28,14,+/-21,23,+/-27,0,+/-89,0,+/-89,28,+/-40,0,+/-89,0,+/-89,0,+/-89,0,+/-89,34,+/-42,0,+/-89,28,+/-31,10,+/-16,4,+/-8
      Other Northern Europe,,,0,,,+/-89,0,+/-89,0,+/-89,16,+/-18,0,+/-89,0,+/-89,159,+/-79,18,+/-30,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,13,+/-21,0,+/-89,0,+/-89,7,+/-12,4,+/-16,19,+/-30,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,9,+/-15,0,+/-89,0,+/-89,39,+/-33,0,+/-89
    Western Europe:,,,0,,,+/-89,87,+/-54,165,+/-75,240,+/-84,210,+/-83,2,+/-5,"8,734",+/-723,55,+/-46,584,+/-172,786,+/-199,327,+/-144,119,+/-80,201,+/-103,317,+/-85,"1,030",+/-306,495,+/-126,858,+/-167,582,+/-162,254,+/-157,284,+/-103,344,+/-184,690,+/-222,287,+/-115,373,+/-115,145,+/-75,82,+/-55,7,+/-13,692,+/-188,140,+/-63,201,+/-89,955,+/-239,710,+/-196
      Austria,,,0,,,+/-89,18,+/-29,20,+/-31,11,+/-17,6,+/-10,0,+/-89,661,+/-190,0,+/-89,88,+/-79,30,+/-27,61,+/-78,13,+/-20,8,+/-14,8,+/-15,65,+/-56,22,+/-31,95,+/-61,70,+/-56,16,+/-24,28,+/-27,0,+/-89,85,+/-66,10,+/-16,0,+/-89,0,+/-89,11,+/-18,0,+/-89,88,+/-62,0,+/-89,5,+/-8,104,+/-64,90,+/-78
